,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
395,http://www.wikidata.org/entity/Q17016720,,"https://en.wikipedia.org/wiki/St._Lawrence_High_School,_Kolkata",Point(88.3558 22.52871944),4.954,22.52871944,88.3558,2.0,http://www.wikidata.org/entity/Q3580134,"St. Lawrence High School, Kolkata",Jesuit school,C,yellow,,,,,,,
397,http://www.wikidata.org/entity/Q17021121,,"https://en.wikipedia.org/wiki/St._James%27_Church,_Kolkata",Point(88.36295 22.55505),1.959,22.55505,88.36295,2.0,http://www.wikidata.org/entity/Q16970,St. James' Church,church building,C,yellow,,,,,,,
399,http://www.wikidata.org/entity/Q17198882,,https://en.wikipedia.org/wiki/Central_Calcutta_Polytechnic,Point(88.3717488 22.5599632),1.624,22.5599632,88.3717488,2.0,http://www.wikidata.org/entity/Q845392,Central Calcutta Polytechnic,polytechnic,C,yellow,,,,,,,
400,http://www.wikidata.org/entity/Q18164352,,https://en.wikipedia.org/wiki/Scottish_Church_Collegiate_School,Point(88.360180555 22.5971),2.746,22.5971,88.360180555556,2.0,http://www.wikidata.org/entity/Q1713379,Scottish Church Collegiate School,boys' school,C,yellow,,,,,,,
404,http://www.wikidata.org/entity/Q20508340,,,Point(88.351 22.579),1.501,22.579,88.351,2.0,http://www.wikidata.org/entity/Q4989906,Q20508340,monument,C,yellow,,,,,,,
405,http://www.wikidata.org/entity/Q22343101,,,Point(88.350906 22.573081),1.335,22.573081,88.350906,2.0,http://www.wikidata.org/entity/Q16970,St. Andrew's Church,church building,C,yellow,,,,,,,
407,http://www.wikidata.org/entity/Q23022948,,https://en.wikipedia.org/wiki/Abhinav_Bharati_High_School,Point(88.351541 22.544068),3.421,22.544068,88.351541,2.0,http://www.wikidata.org/entity/Q423208,Abhinav Bharti High School,private school,C,yellow,,,,,,,
409,http://www.wikidata.org/entity/Q26791144,,,Point(88.366666666 22.6),3.055,22.6,88.366666666667,2.0,http://www.wikidata.org/entity/Q12284,Circular Canal,canal,C,yellow,,,,,,,
410,http://www.wikidata.org/entity/Q28170257,,,Point(88.4076941 22.560624),4.692,22.560624,88.4076941,2.0,http://www.wikidata.org/entity/Q27556165,Mini TTT and MWT Kolkata 2017,workshop,C,yellow,,,,,,,
411,http://www.wikidata.org/entity/Q30644965,,https://en.wikipedia.org/wiki/Baba_Saheb_Ambedkar_Education_University,Point(88.3559906 22.5302408),4.784,22.5302408,88.3559906,2.0,http://www.wikidata.org/entity/Q875538,Baba Saheb Ambedkar Education University,public university,C,yellow,,,,,,,
412,http://www.wikidata.org/entity/Q31724926,,,Point(88.36694722 22.603),3.39,22.603,88.36694722,2.0,http://www.wikidata.org/entity/Q41176,Residence of Sister Nivedita,building,C,yellow,,,,,,,
413,http://www.wikidata.org/entity/Q34501238,,"https://en.wikipedia.org/wiki/Elite_Cinema_Hall,_Calcutta",Point(88.3538589 22.5629291),1.493,22.5629291,88.3538589,2.0,http://www.wikidata.org/entity/Q41253,Elite Cinema,movie theater,C,yellow,,,,,,,
415,http://www.wikidata.org/entity/Q40443076,,,Point(88.407694111 22.560624),4.692,22.560624,88.407694111111,2.0,http://www.wikidata.org/entity/Q129166943,Wikidata workshop Kolkata 2017,Wikidata workshop,C,yellow,,,,,,,
416,http://www.wikidata.org/entity/Q40670133,,,Point(88.35055542 22.57050514),1.39,22.57050514,88.35055542,2.0,http://www.wikidata.org/entity/Q34627,Beth-El Synagogue,synagogue,C,yellow,,,,,,,
417,http://www.wikidata.org/entity/Q43386512,,,Point(88.407694111 22.560624),4.692,22.560624,88.407694111111,2.0,http://www.wikidata.org/entity/Q1062856,Bangla Wikisource 10th Anniversary Celebration,anniversary,C,yellow,,,,,,,
418,http://www.wikidata.org/entity/Q48727756,,https://en.wikipedia.org/wiki/Howrah_Zilla_School,Point(88.33513 22.57452),2.961,22.574520000639,88.335130000381,2.0,http://www.wikidata.org/entity/Q1713379,Howrah Zilla School,boys' school,C,yellow,,,,,,,
421,http://www.wikidata.org/entity/Q50892513,,https://en.wikipedia.org/wiki/Mitra_Institution_(Main),Point(88.368199999 22.572399999),0.443,22.572399999801,88.368199999837,2.0,http://www.wikidata.org/entity/Q1713379,Mitra Institution (Main),boys' school,C,yellow,,,,,,,
428,http://www.wikidata.org/entity/Q55634621,,"https://en.wikipedia.org/wiki/Taki_House,_Govt_Sponsored_Multipurpose_School_for_Boys",Point(88.3723312 22.57321),0.868,22.57321,88.3723312,2.0,http://www.wikidata.org/entity/Q1713379,Taki House Govt Sponsored Multipurpose School for Boys,boys' school,C,yellow,,,,,,,
437,http://www.wikidata.org/entity/Q58623459,,,Point(88.391297 22.547828),3.941,22.547828,88.391297,2.0,http://www.wikidata.org/entity/Q44539,Chinese Kali Mandir,temple,C,yellow,,,,,,,
438,http://www.wikidata.org/entity/Q60054014,,,Point(88.373078055 22.57505),0.98,22.57505,88.373078055556,2.0,http://www.wikidata.org/entity/Q14827288,Documenting Brahmo Samaj Cemetery-Nabodebalay,Wikimedia projects,C,yellow,,,,,,,
