,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
286,http://www.wikidata.org/entity/Q106200317,,"https://en.wikipedia.org/wiki/Indara,_Lucknow",Point(80.99114 27.09781),29.416,27.09781,80.99114,1,http://www.wikidata.org/entity/Q56061,"Indara, Lucknow",administrative territorial entity,D,blue
287,http://www.wikidata.org/entity/Q106200324,,https://en.wikipedia.org/wiki/Palpur,Point(80.89059 27.06771),25.9,27.06771,80.89059,1,http://www.wikidata.org/entity/Q56061,Palpur,administrative territorial entity,D,blue
288,http://www.wikidata.org/entity/Q106200336,,https://en.wikipedia.org/wiki/Raipur_Raja,Point(80.87976 27.07426),26.815,27.07426,80.87976,1,http://www.wikidata.org/entity/Q56061,Raipur Raja,administrative territorial entity,D,blue
289,http://www.wikidata.org/entity/Q106200356,,https://en.wikipedia.org/wiki/Singhamau,Point(80.88432 27.0582),24.975,27.0582,80.88432,1,http://www.wikidata.org/entity/Q56061,Singhamau,administrative territorial entity,D,blue
290,http://www.wikidata.org/entity/Q106200360,,"https://en.wikipedia.org/wiki/Unai,_Lucknow",Point(80.96836 27.06405),25.345,27.06405,80.96836,1,http://www.wikidata.org/entity/Q56061,"Unai, Lucknow",administrative territorial entity,D,blue
291,http://www.wikidata.org/entity/Q106200361,,https://en.wikipedia.org/wiki/Sarsava,Point(80.97368 27.02684),21.34,27.02684,80.97368,1,http://www.wikidata.org/entity/Q56061,Sarsava,administrative territorial entity,D,blue
292,http://www.wikidata.org/entity/Q106200371,,"https://en.wikipedia.org/wiki/Bibipur,_Bakshi_Ka_Talab",Point(80.92492 27.06271),24.993,27.06271,80.92492,1,http://www.wikidata.org/entity/Q56061,"Bibipur, Bakshi Ka Talab",administrative territorial entity,D,blue
293,http://www.wikidata.org/entity/Q106200379,,"https://en.wikipedia.org/wiki/Bangaon,_Lucknow",Point(80.88901 27.07349),26.56,27.07349,80.88901,1,http://www.wikidata.org/entity/Q56061,"Bangaon, Lucknow",administrative territorial entity,D,blue
294,http://www.wikidata.org/entity/Q106200376,,"https://en.wikipedia.org/wiki/Arjunpur,_Lucknow",Point(80.90381 27.05143),23.916,27.05143,80.90381,1,http://www.wikidata.org/entity/Q56061,"Arjunpur, Lucknow",administrative territorial entity,D,blue
295,http://www.wikidata.org/entity/Q106200383,,https://en.wikipedia.org/wiki/Papnamau,Point(81.08928 26.90981),17.29,26.90981,81.08928,1,http://www.wikidata.org/entity/Q56061,Papnamau,administrative territorial entity,D,blue
